Row_ID,date,state,state_name,death,deathConfirmed,deathIncrease,hospitalizedCurrently,hospitalizedCumulative,hospitalizedIncrease,inIcuCurrently,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,negative,negativeIncrease,totalTestResults,totalTestResultsIncrease,totalTestsViral,totalTestsViralIncrease,totalTestsPeopleViral,totalTestsPeopleViralIncrease,recovered
00161,2020-03-03,NE,Nebraska,0,0,0,0,0,0,0,0,0,0,0,0,0,48,12,48,12,0,0,0
00162,2020-03-03,NY,New York,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0
00163,2020-03-03,RI,Rhode Island,0,0,0,0,0,0,0,0,2,0,0,5,2,5,1,7,2,7,2,0
00164,2020-03-03,TX,Texas,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6,0,0,0
00165,2020-03-03,VA,Virginia,0,0,0,0,0,0,0,0,0,0,0,0,0,6451,1,0,0,0,0,0
00166,2020-03-03,WA,Washington,14,0,3,0,0,0,0,0,59,59,16,0,0,531,226,0,0,523,225,0
00167,2020-03-03,WI,Wisconsin,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
00168,2020-03-03,WY,Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
00169,2020-03-04,AZ,Arizona,0,0,0,0,4,0,0,0,2,0,0,27,0,33,0,33,33,29,29,0
00170,2020-03-04,CA,California,0,0,0,0,0,0,0,0,53,53,0,462,0,515,0,515,515,0,0,0
00171,2020-03-04,CO,Colorado,0,0,0,0,0,0,0,0,2,0,0,19,0,0,0,0,0,0,0,0
00172,2020-03-04,CT,Connecticut,0,0,0,0,0,0,0,0,0,0,0,0,0,24,12,24,12,0,0,0
00173,2020-03-04,FL,Florida,0,0,0,0,0,0,0,0,3,0,1,24,24,22,3,0,0,0,0,0
00174,2020-03-04,GA,Georgia,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
00175,2020-03-04,HI,Hawaii,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
00176,2020-03-04,IL,Illinois,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
00177,2020-03-04,IN,Indiana,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,12,4,0,0,0
00178,2020-03-04,MA,Massachusetts,0,0,0,0,0,0,0,0,2,2,2,0,0,66,22,66,22,0,0,0
00179,2020-03-04,MI,Michigan,0,0,0,0,0,0,0,0,74,74,24,0,0,0,0,0,0,0,0,0
00180,2020-03-04,NC,North Carolina,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
00181,2020-03-04,NE,Nebraska,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,48,0,0,0,0
00182,2020-03-04,NH,New Hampshire,0,0,0,0,0,0,0,0,2,0,0,10,0,6,0,6,6,0,0,0
