Acc_ID,Id,District Name,Neighborhood Name,Street,Weekday,Month,Day,Hour,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved
6378,2017S007665    ,Sant Andreu,Sant Andreu,Torras i Bages                                    ,Saturday,September,16,11,Morning,1,0,1,3
6379,2017S003220    ,Sant Andreu,Sant Andreu,Meridiana / Santa Coloma                          ,Friday,April,7,11,Morning,3,0,3,2
6380,2017S007490    ,Sant Andreu,Sant Andreu,FavÃ¨ncia / Ribes                                  ,Friday,September,8,23,Night,1,0,1,2
6381,2017S009113    ,Sant Andreu,Sant Andreu,Palomar / Torras i Bages                          ,Saturday,November,4,14,Afternoon,1,0,1,2
6382,2017S003174    ,Sant Andreu,Sant Andreu,ArquÃ­medes / Campeny                              ,Thursday,April,6,4,Night,1,0,1,2
6383,2017S002001    ,Sant Andreu,Sant Andreu,GRAN SANT ANDREU / Balira                         ,Saturday,March,11,20,Afternoon,1,0,1,2
6384,2017S000380    ,Sant Andreu,Sant Andreu,GRAN SANT ANDREU / Palomar                        ,Saturday,January,14,22,Night,2,0,2,2
6385,2017S004376    ,Sant Andreu,Sant Andreu,B-20 (BesÃ²s)                                      ,Wednesday,May,17,13,Morning,2,0,2,2
6386,2017S010079    ,Sant Andreu,Sant Andreu,Ribes / FavÃ¨ncia                                  ,Saturday,December,2,17,Afternoon,1,0,1,2
6387,2017S006203    ,Sant Andreu,Sant Andreu,Palomar / Fernando Pessoa                         ,Sunday,July,16,18,Afternoon,2,0,2,2
6388,2017S010694    ,Sant Andreu,Sant Andreu,Santa Coloma / Ribes                              ,Wednesday,December,27,12,Morning,1,0,1,2
6389,2017S005848    ,Sant Andreu,la Trinitat Vella,B-10 (BesÃ²s)                                      ,Wednesday,July,5,9,Morning,1,0,1,2
6390,2017S000568    ,Sant Andreu,el Bon Pastor,RDA LITORAL(LLOBRE                                ,Saturday,January,21,8,Morning,0,0,0,1
6391,2017S001546    ,Sant Andreu,el Bon Pastor,FERRAN JUNOY                                      ,Friday,February,24,16,Afternoon,1,0,1,1
6392,2017S000909    ,Sant Andreu,la Trinitat Vella,TOSSAL                                            ,Thursday,February,2,16,Afternoon,1,0,1,1
6393,2017S008140    ,Sant Andreu,la Trinitat Vella,Torras i Bages / FavÃ¨ncia                         ,Tuesday,October,3,6,Morning,1,0,1,1
6394,2017S007689    ,Sant Andreu,el Bon Pastor,Ciutat d'AsunciÃ³n                                 ,Saturday,September,16,21,Afternoon,3,0,3,2
6395,2017S007371    ,Sant Andreu,BarÃ³ de Viver,PotosÃ­                                            ,Monday,September,4,8,Morning,1,0,1,3
6396,2017S005977    ,Sant Andreu,la Trinitat Vella,Meridiana                                         ,Sunday,July,9,23,Night,1,0,1,3
6397,2017S008546    ,Sant Andreu,BarÃ³ de Viver,Litoral (Llobregat)                               ,Tuesday,October,17,19,Afternoon,2,0,2,2
6398,2017S000115    ,Sant Andreu,BarÃ³ de Viver,NUS TRINITAT                                      ,Thursday,January,5,12,Morning,1,0,1,2
6399,2017S002475    ,Sant Andreu,BarÃ³ de Viver,NUS TRINITAT                                      ,Tuesday,March,28,14,Afternoon,2,0,2,2
6400,2017S006545    ,Sant Andreu,la Trinitat Vella,Meridiana                                         ,Thursday,July,27,12,Morning,1,0,1,2
6401,2017S000146    ,Sant Andreu,la Trinitat Vella,RDA DALT(LLOBREGAT                                ,Saturday,January,7,8,Morning,1,0,1,2
6402,2017S003833    ,Sant Andreu,el Bon Pastor,Caracas                                           ,Sunday,April,30,7,Morning,0,0,0,4
6403,2017S000187    ,Sant Andreu,la Trinitat Vella,ALMASSORA                                         ,Monday,January,9,12,Morning,1,0,1,1
6404,2017S008975    ,Sant Andreu,Sant Andreu,DublÃ­n                                            ,Monday,October,30,17,Afternoon,1,0,1,2
6405,2017S008154    ,Sant Andreu,Sant Andreu,DublÃ­n                                            ,Tuesday,October,3,15,Afternoon,0,0,0,1
6406,2017S006676    ,Sant Andreu,Sant Andreu,Gran de Sant Andreu                               ,Wednesday,August,2,0,Night,1,0,1,1
6407,2017S007101    ,Sant Andreu,la Trinitat Vella,Almassora                                         ,Monday,August,21,11,Morning,1,0,1,1
6408,2017S009091    ,Sant Andreu,la Trinitat Vella,Meridiana                                         ,Friday,November,3,17,Afternoon,1,0,1,2
6409,2017S002129    ,Sant Andreu,Sant Andreu,CONCEPCIÃ“N ARENAL                                 ,Thursday,March,16,20,Afternoon,1,0,1,1
6410,2017S010190    ,Sant Andreu,el Bon Pastor,Fra JunÃ­per Serra / Estadella                     ,Sunday,December,3,20,Afternoon,0,0,0,2
6411,2017S007020    ,Sant Andreu,el Bon Pastor,Santander                                         ,Wednesday,August,16,17,Afternoon,1,0,1,2
6412,2017S006730    ,Sant Andreu,el Bon Pastor,Barri Vermell / Estadella                         ,Thursday,August,3,14,Afternoon,1,0,1,2
6413,2017S009192    ,Sant Andreu,el Bon Pastor,Santander / Mare de DÃ©u de Montserrat             ,Tuesday,November,7,13,Morning,1,0,1,2
6414,2017S007300    ,Sant Andreu,el Bon Pastor,Fra JunÃ­per Serra / Santander                     ,Thursday,August,31,13,Morning,2,0,2,2
6415,2017S001367    ,Sant Andreu,el Bon Pastor,RDA LITORAL(BESÃ’S)                                ,Saturday,February,18,14,Afternoon,1,0,1,2
6416,2017S010187    ,Sant Andreu,el Bon Pastor,Litoral (Llobregat)                               ,Thursday,December,7,1,Night,2,0,2,1
6417,2017S001620    ,Sant Andreu,el Bon Pastor,SANT ADRIÃ€                                        ,Monday,February,27,18,Afternoon,1,0,1,2
6418,2017S003438    ,Sant Andreu,el Bon Pastor,Ciutat d'AsunciÃ³n                                 ,Monday,April,3,17,Afternoon,1,0,1,2
6419,2017S010647    ,Sant Andreu,el Bon Pastor,Santander / Enric Sanchis                         ,Monday,December,25,6,Morning,1,0,1,2
6420,2017S005186    ,Sant Andreu,el Bon Pastor,Mollerussa                                        ,Tuesday,June,13,20,Afternoon,0,0,0,2
6421,2017S009165    ,Sant Andreu,el Bon Pastor,Litoral (Llobregat)                               ,Monday,November,6,12,Morning,2,0,2,4
6422,2017S006489    ,Sant Andreu,el Bon Pastor,Lima                                              ,Tuesday,July,25,14,Afternoon,1,0,1,1
6423,2017S009782    ,Sant Andreu,el Bon Pastor,PotosÃ­                                            ,Friday,November,24,13,Morning,1,0,1,2
6424,2017S004870    ,Sant Andreu,el Bon Pastor,Lima                                              ,Friday,June,2,15,Afternoon,1,0,1,2
6425,2017S006300    ,Unknown,Unknown,Valldaura / Andreu Nin                            ,Wednesday,July,19,11,Morning,1,0,1,1
6426,2017S005733    ,Sant MartÃ­,el Camp de l'Arpa del Clot,Josep Estivill / Las Navas de Tolosa              ,Saturday,July,1,18,Afternoon,1,0,1,2
6427,2017S010692    ,Sant MartÃ­,el Camp de l'Arpa del Clot,NaciÃ³ / DegÃ  BahÃ­                                 ,Wednesday,December,27,10,Morning,1,0,1,2
6428,2017S009198    ,Sant MartÃ­,el Camp de l'Arpa del Clot,Trinxant / Ruiz de PadrÃ³n                         ,Tuesday,November,7,14,Afternoon,1,0,1,2
6429,2017S009210    ,Sant MartÃ­,el Camp de l'Arpa del Clot,Ruiz de PadrÃ³n / Lorenzale                        ,Tuesday,November,7,19,Afternoon,1,0,1,1
